refs,hyps,same_indices,random_indices,same_index_bleu1,different_index_bleu1,same_index_bleu2,different_index_bleu2,same_index_bleu3,different_index_bleu3,same_index_bleu4,different_index_bleu4,same_index_rouge,different_index_rouge,same_index_bert,different_index_bert,same_index_bleurt,different_index_bleurt
später breiten sich aber nebel oder hochnebelfelder aus .,"{'01November_2010_Monday_tagesschau-136', 'später bilden sich stellenweise nebel oder hochnebelfelder .'}","(10, 10)","[469, 175]",66.18726769384463,7.142857142857142,40.8516685199919,0.0,29.062112480751335,0.0,0.0,0.0,70.10475423042197,7.779141104227431,92.66390800476074,64.3114447593689,0.7891693711280823,0.22877326607704163
die halten sich morgen recht zäh .,"{'morgen lässt der schneefall allmählich nach .', '01November_2010_Monday_tagesschau-137'}","(11, 11)","[594, 50]",28.57142857142857,15.15914396500328,0.0,0.0,0.0,0.0,0.0,0.0,28.571428571378572,16.439909297020385,72.51540422439575,62.12203502655029,0.26419365406036377,0.15316982567310333
in deutschland gibt es nur schwache luftdruckunterschiede .,"{'in weiten teilen deutschlands schwacher bis mäßiger wind aus unterschiedlichen richtungen .', '08May_2010_Saturday_tagesschau-175'}","(12, 12)","[190, 17]",16.666666666666668,12.500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,18.571428571359508,13.893495485466042,72.27896451950073,64.36641216278076,0.47466546297073364,0.11292707175016403
vom mittelmeer fließt feuchte luft heran in der sich zum teil kräftige gewitter entwickeln können .,"{'08May_2010_Saturday_tagesschau-176', 'die feuchte luft im südosten verlagert sich nach osten in der sich einzelne gewitterschauer und gewitter entwickeln können .'}","(13, 13)","[156, 533]",47.368421052631575,14.285714285714283,39.735970711951325,0.0,30.316565239292984,0.0,20.42819529610957,0.0,50.68918302138757,15.55828220852191,79.67222929000854,61.074745655059814,0.435840904712677,0.20890438556671143
ganz ähnliche temperaturen wie heute zwischen sechs und elf grad .,"{'24November_2011_Thursday_heute-224', 'ähnliches wetter dann auch heute mit sechs bis elf grad .'}","(14, 14)","[250, 235]",45.45454545454545,12.980013051190083,30.15113445777636,0.0,21.616643908267584,0.0,0.0,0.0,45.454545454495445,14.462081128722264,80.34471869468689,70.3130304813385,0.7120193839073181,0.5069200396537781
in der nordhälfte gibt es zu beginn der nacht noch einzelne heftige schauer und gewitter dann klar dass dort teilweise auf .,"{'21August_2011_Sunday_tagesschau-263', 'in der nordhälfte beginnt die nacht mit teilweise kräftigen schauern und gewittern die später auch mal dichter werden .'}","(15, 15)","[550, 275]",31.460935049288132,18.710139700632354,17.277390606799415,0.0,11.445765832396242,0.0,0.0,0.0,28.95984463354106,19.314683442601666,82.02288150787354,67.53020286560059,0.5260024070739746,0.14381785690784454
und bis zum abend kann die schneefallgrenze auch bis in die niederungen sinken .,"{'22November_2010_Monday_heute-283', 'bis zum abend beruhigt sich das wetter vorübergehend bevor sich wieder der nebel ausbreitet .'}","(16, 16)","[433, 148]",26.66666666666667,1.3899960383483787,19.51800145897067,0.0,14.310092685025484,0.0,0.0,0.0,27.520836737972665,10.05508727683669,74.59182143211365,66.48516654968262,0.4549911618232727,0.28939011693000793
und nun die wettervorhersage für morgen freitag den fünfzehnten oktober .,"{'14October_2010_Thursday_tagesschau-287', 'und nun die wettervorhersage für morgen freitag den fünfzehnten oktober .'}","(17, 17)","[82, 419]",100.00000000000004,11.111111111111109,100.00000000000004,0.0,100.00000000000004,0.0,100.00000000000004,0.0,99.99999999994999,12.126865671574393,99.99999403953552,71.19218707084656,1.0014368295669556,0.27294105291366577
morgen früh bildet sich über der nordsee ein neues tief das von norden für kräftigen regen sorgt .,"{'an den küsten ist es stark bewölkt in der nordhälfte regnet es mitunter kräftig .', '14October_2010_Thursday_tagesschau-290'}","(18, 18)","[103, 420]",10.916410041039759,8.131393194811983,0.0,0.0,0.0,0.0,0.0,0.0,11.92570869987219,11.731772490144502,69.00002956390381,67.00001955032349,0.4174814224243164,0.26639115810394287
heute nacht ist es im süden teils klar teilweise aber auch nebel .,"{'14October_2010_Thursday_tagesschau-291', 'heute nacht ist es im süden verbreitet klar örtlich bildet sich nebel .'}","(19, 19)","[521, 446]",69.23076923076921,9.735009788392562,58.834840541455215,0.0,50.11627948853365,0.0,44.08231875586728,0.0,69.23076923071922,10.846560846535318,82.34025239944458,66.39605164527893,0.5671554207801819,0.09750784933567047
im verlauf kommt im norden und nordwesten teilweise kräftiger regen auf einzelne gewitter sind dabei .,"{'im norden und nordwesten regnet es gebietsweise teilweise auch kräftig auch gewitter sind mit dabei .', '14October_2010_Thursday_tagesschau-294'}","(20, 20)","[188, 24]",56.24999999999999,14.285714285714283,43.30127018922193,0.0,29.92042402942877,0.0,21.305413619585096,0.0,56.24999999994999,15.55828220852191,84.0405523777008,69.59737539291382,0.6818984746932983,0.28521016240119934
morgen scheint dann wieder überall die sonne .,"{'06April_2010_Tuesday_tagesschau-306', 'morgen wird es überwiegend sonnig .'}","(21, 21)","[324, 371]",23.884377019126312,18.18181818181818,0.0,0.0,0.0,0.0,0.0,0.0,27.47252747250878,20.297349709051105,78.60280275344849,63.17412853240967,0.8263768553733826,0.1569989174604416
am samstag regnet es im südosten und an der ostsee dort ist es teilweise windig sonst regnet es nur vereinzelt teilweise zeigt sich die sonne .,"{'12May_2010_Wednesday_tagesschau-323', 'am samstag regnet es in der südosthälfte gebietsweise kräftig an der nordsee ist es weiter windig sonst regnet es mancherorts und stellenweise zeigt sich die sonne .'}","(22, 22)","[456, 459]",66.66666666666669,8.785910567087734,55.470019622522905,0.0,44.16635478536996,0.0,34.61631665891904,0.0,64.10531683614703,11.770451770453395,84.36076045036316,67.82267093658447,0.6298196315765381,0.23603278398513794
am donnerstag ist es in der südosthälfte weiterhin wechselhaft nach nordwesten hin ist es freundlich .,"{'12April_2010_Monday_tagesschau-365', 'am donnerstag in der südosthälfte weiter unbeständiges wetter in der nordwesthälfte wird es zunehmend freundlicher .'}","(23, 23)","[361, 75]",43.74999999999999,13.333333333333334,29.580398915498076,0.0,18.420157493201934,0.0,0.0,0.0,43.74999999995,14.87007975296058,83.91677141189575,73.10442924499512,0.6356192827224731,0.5252447128295898
im westen und nordwesten beruhigt sich das wetter später wieder .,"{'12July_2010_Monday_tagesschau-373', 'im westen und nordwesten lockert es später wieder auf .'}","(24, 24)","[219, 453]",63.33861926251719,18.18181818181818,50.469419878866006,0.0,38.623864841264314,0.0,29.377167835760567,0.0,66.36636636632652,19.611650485371555,87.60111331939697,65.86256623268127,0.7550827860832214,0.19951671361923218
morgen gibt es im osten und südosten bei einer mischung aus sonne und wolken zum teil kräftige schauer oder gewitter .,"{'morgen im osten und südosten eine mischung aus sonne und wolken teilweise gibt es kräftige schauer oder gewitter .', '12July_2010_Monday_tagesschau-374'}","(25, 25)","[141, 434]",80.53415603309686,23.337955174478605,69.5163277396321,0.0,58.93407892484591,0.0,48.98448862114775,0.0,74.62779156323612,18.60521235517586,93.26954483985901,70.45745253562927,0.719115138053894,0.2747204005718231
temperaturen nur so um die null grad am kältesten im norden bis minus fünf grad .,"{'am tag null grad bei dauerfrost im norden bis minus fünf grad .', '17February_2011_Thursday_heute-387'}","(26, 26)","[41, 447]",61.07097367830395,18.18181818181818,53.18203081300615,0.0,46.733515317882976,0.0,42.43076721113252,0.0,60.78182107100406,20.054945054890666,80.26453256607056,67.81866550445557,0.4791969060897827,0.3659699261188507
die luft die in der kommenden woche zu uns strömt ist deutlich kühler .,"{'17April_2010_Saturday_tagesschau-399', 'in der neuen woche strömt dann noch kühlere luft zu uns .'}","(27, 27)","[508, 159]",56.43211499270762,22.22222222222222,29.47071089565879,0.0,0.0,0.0,0.0,0.0,45.617173524117035,22.222222222172224,82.58302211761475,60.737764835357666,0.7080582976341248,0.2699942886829376
am dienstag ist es teils freundlich teils stärker bewölkt einige regenschauer sind dabei mitunter auch gewitter .,"{'am dienstag scheint häufig die sonne hier und da aber auch mal dichtere wolken und gelegentlich unbeständige schauer oder gewitter .', '17April_2010_Saturday_tagesschau-406'}","(28, 28)","[399, 554]",23.80952380952381,9.090909090909093,15.430334996209194,0.0,0.0,0.0,0.0,0.0,25.751375758365096,9.480909480850892,76.29712224006653,68.28041076660156,0.49055761098861694,0.3006749749183655
am sonntag im norden und in der mitte schauer dabei ist es im norden stürmisch .,"{'am sonntag im norden und in der mitte niederschläge im norden und nordwesten im norden stürmische böen .', '01October_2009_Thursday_tagesschau-420'}","(29, 29)","[154, 220]",61.1111111111111,8.591115984887153,53.62664443598957,0.0,47.59896445368891,0.0,43.54294657746997,0.0,64.26269137786073,10.03798155180206,85.64649224281311,61.8402898311615,0.43845903873443604,0.06357889622449875
im süden freundliches wetter .,"{'richtung süden ist es freundlicher .', '01October_2009_Thursday_tagesschau-421'}","(30, 30)","[534, 161]",33.333333333333336,21.42857142857143,0.0,12.838814775327391,0.0,0.0,0.0,0.0,35.77712609964235,23.513513513462183,70.81350684165955,75.43314099311829,0.6988848447799683,0.4750123620033264
der donnerstag wird dann richtig krass da erwarten wir unwetter in deutschland und große temperaturunterschiede sechs bis zwanzig grad .,"{'04May_2010_Tuesday_heute-460', 'am donnerstag gibt es wieder eine neue wetterfront ein neues unwettertief das für deutschland temperaturunterschiede sorgt mit sechsundzwanzig bis sechsundzwanzig grad .'}","(31, 31)","[615, 333]",27.272727272727277,9.161208579249886,11.396057645963799,0.0,0.0,0.0,0.0,0.0,28.44272844266985,14.446584679220209,76.89290046691895,62.87454962730408,0.5121685862541199,0.13508698344230652
auch am samstag regnet oder schneit es verbreitet später wird es im westen und norden freundlicher .,"{'30January_2013_Wednesday_tagesschau-476', 'auch am samstag regnet oder schneit es verbreitet später wird es im westen und norden freundlicher .'}","(32, 32)","[186, 39]",100.00000000000004,16.666666666666668,100.00000000000004,0.0,100.00000000000004,0.0,100.00000000000004,0.0,99.99999999994999,18.518518518459263,100.0,64.80932831764221,0.9527773261070251,0.15859317779541016
im südwesten morgen werte um den gefrierpunkt im osten bis minus sieben grad .,"{'im südwesten werte nahe dem gefrierpunkt im osten bis minus sieben grad .', '07February_2010_Sunday_tagesschau-499'}","(33, 33)","[556, 254]",78.35055280819599,24.90274680769807,69.5459380028764,0.0,62.51222329149687,0.0,57.991506770919095,0.0,81.25885448285601,17.325923504372444,93.251633644104,63.821643590927124,0.6937987208366394,0.2518502473831177
in der südhälfte muss dazu mit nachtfrost gerechnet werden .,"{'im süden beginnt die nacht teilweise noch frostig .', '20October_2011_Thursday_tagesschau-506'}","(34, 34)","[534, 306]",9.942659075715216,19.95134527937192,0.0,0.0,0.0,0.0,0.0,0.0,10.4684788894928,13.7604183689718,72.08980321884155,66.91988706588745,0.5898697376251221,0.24284347891807556
am tag sechs grad an den alpen und dreizehn grad am oberrhein .,"{'20October_2011_Thursday_tagesschau-513', 'am tag sechs grad an den alpen dreizehn grad am oberrhein .'}","(35, 35)","[248, 167]",92.00444146293236,7.407407407407407,87.72279297934199,0.0,82.73854775325815,0.0,76.7733168433653,0.0,95.69426751588205,7.769899131100311,94.06973719596863,65.0296688079834,0.7926496267318726,0.22987736761569977
und nun die wettervorhersage für morgen donnerstag den fünfzehnten oktober .,"{'14October_2009_Wednesday_tagesschau-516', 'und nun die wettervorhersage für morgen sonntag den fünfzehnten oktober .'}","(36, 36)","[22, 560]",90.90909090909088,22.22222222222222,85.28028654224414,13.074409009212268,78.56009758726493,8.809840420083068,70.16879391277372,0.0,90.9090909090409,20.694421857144405,96.58164978027344,70.87374925613403,0.8222200870513916,0.3862156867980957
heute nacht plus vier grad an der ostsee bis minus vier grad in den mittelgebirgen .,"{'heute nacht plus vier grad an der ostsee und minus ein grad in der mitte .', '14October_2009_Wednesday_tagesschau-526'}","(37, 37)","[306, 7]",74.99999999999997,4.811030377273186,63.245553203367585,0.0,55.5513224287824,0.0,50.67309892897293,0.0,74.99999999994999,6.2124808041308235,86.58687472343445,66.4709210395813,0.6315721273422241,0.25748196244239807
und nun die wettervorhersage für morgen dienstag den dreizehnten oktober .,"{'12October_2009_Monday_tagesschau-548', 'und nun die wettervorhersage für morgen mittwoch den dreizehnten oktober .'}","(38, 38)","[33, 70]",90.90909090909088,23.076923076923073,85.28028654224414,13.867504905630724,78.56009758726493,0.0,70.16879391277372,0.0,90.9090909090409,25.242414763773358,97.10006713867188,70.46090364456177,0.7962015271186829,0.2905951738357544
im westen ist es freundlich .,"{'12October_2009_Monday_tagesschau-560', 'im nordwesten freundlicher .'}","(39, 39)","[260, 169]",30.326532985631665,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,37.1428571428493,9.157509157440758,80.73759078979492,67.97710061073303,0.4280964732170105,0.15276767313480377
ähnliches wetter dann auch am donnerstag .,"{'auch am donnerstag noch wechselhaftes wetter .', '12October_2009_Monday_tagesschau-561'}","(40, 40)","[102, 282]",71.42857142857146,18.75,48.795003647426675,0.0,36.24601243342974,0.0,0.0,0.0,57.14285714280714,18.749999999950003,80.65609931945801,66.73724055290222,0.7117519378662109,0.18600894510746002
am freitag insgesamt viele wolken die regen bringen .,"{'12October_2009_Monday_tagesschau-562', 'am freitag gibt es viele wolken die gebietsweise regen bringen .'}","(41, 41)","[112, 441]",72.7272727272727,10.10884432854389,60.3022689155527,0.0,43.233287816535174,0.0,0.0,0.0,78.44660194168223,12.380952380944544,88.87308239936829,66.28721952438354,0.7833080887794495,0.390510618686676
im osten und südosten auch schnee oder schneeregen .,"{'im osten und südosten schneit es teilweise noch kräftig .', '12October_2009_Monday_tagesschau-563'}","(42, 42)","[449, 222]",49.99999999999999,16.666666666666668,40.82482904638629,0.0,34.66806371753173,0.0,27.77619034011791,0.0,52.34239444759824,18.315018314949917,79.69982624053955,67.83004403114319,0.7236624360084534,0.2506638765335083
am tag im osten viel sonne in der westhälfte regnet es zwischen niederrhein und ostfriesland .,"{'am tag in der osthälfte viel sonne in der westhälfte hier und da schauer zwischen niederrhein und küsten .', '25February_2011_Friday_tagesschau-568'}","(43, 43)","[369, 371]",57.89473684210525,18.18181818181818,47.44957310981936,0.0,37.5570866689132,0.0,28.52636439147137,0.0,61.953445915043446,20.297349709051105,84.05616283416748,62.7962589263916,0.3931625187397003,0.21122808754444122
zunächst ist das gewitterrisiko nur im westen erhöht von tag zu tag steigt es aber auch richtung osten .,"{'09July_2010_Friday_tagesschau-591', 'später sind die schauer und gewitter dann meist nur noch im westen unterwegs aber besserung in der osthälfte und im osten ist das gewitterrisiko am höchsten .'}","(44, 44)","[161, 138]",33.333333333333336,12.500000000000002,19.611613513818398,0.0,11.544156732643193,0.0,0.0,0.0,24.640192901746765,13.216374268944438,74.97621774673462,65.9960389137268,0.4619298577308655,0.10674683749675751
morgen vormittag an der ostsee noch starke böen sonst weht der wind schwach bis mäßig aus ost bis südost .,"{'06October_2010_Wednesday_tagesschau-638', 'morgen vormittag an der ostsee noch kräftige böen sonst weht der wind schwach bis mäßig .'}","(45, 45)","[571, 516]",73.01257341294418,22.22222222222222,67.44612626270498,11.433239009500591,63.25149411058876,0.0,59.01281683318052,0.0,81.34920634918082,24.849923216461985,92.9410994052887,73.98095726966858,0.7425431609153748,0.3561398386955261
dort auch bei leichten plusgraden aber sonst bleibt es frostig .,"{'allerdings gibt es schon plusgrade sonst bleibt es überall frostig .', '14December_2010_Tuesday_heute-650'}","(46, 46)","[505, 581]",45.45454545454545,11.76470588235294,36.92744729379982,0.0,24.744880157997635,0.0,0.0,0.0,45.454545454495445,13.132607302942217,83.25008749961853,64.89858627319336,0.5642375349998474,0.35266080498695374
und die kälteste ecke wird der gesamte südosten bleiben .,"{'vor allem kälter bleibt es im süden und osten .', '14December_2010_Tuesday_heute-651'}","(47, 47)","[262, 499]",19.999999999999996,27.777777777777775,0.0,18.077538151554684,0.0,0.0,0.0,0.0,19.999999999950003,31.062404020594336,74.30229187011719,71.82279229164124,0.5406215786933899,0.4393784999847412
und nun die wettervorhersage für morgen sonntag den zwölften juli .,"{'und nun die wettervorhersage für morgen sonntag den zwölften juni .', '11July_2009_Saturday_tagesschau-655'}","(48, 48)","[267, 201]",90.90909090909088,14.285714285714283,85.28028654224414,0.0,82.70230439802374,0.0,80.70557274927978,0.0,90.9090909090409,15.55828220852191,98.78705143928528,64.68095183372498,0.7858079075813293,0.38260453939437866
in der nacht sinken die temperaturen auf vierzehn bis sieben grad .,"{'11July_2009_Saturday_tagesschau-664', 'heute nacht sinken die temperaturen auf vierzehn bis sieben grad .'}","(49, 49)","[209, 402]",83.00915602566019,7.142857142857142,82.59306741035519,0.0,82.11410885863806,0.0,81.55395405382076,0.0,86.62961752202527,7.837837837786512,95.00563144683838,68.61150860786438,0.8287153840065002,0.1572888046503067
morgen höchstwerte zwischen siebzehn grad im emsland und fünfundzwanzig grad am oberrhein .,"{'11July_2009_Saturday_tagesschau-665', 'morgen reichen die temperaturen von siebzehn grad im vogtland bis fünfundzwanzig grad am oberrhein .'}","(50, 50)","[549, 334]",59.999999999999986,19.125114024581094,50.70925528371098,11.711692658192524,42.93027805507643,0.0,33.88714363186177,0.0,63.63962670489127,23.92744025337823,85.36806106567383,72.18663096427917,0.6663855910301208,0.36610740423202515
auch am dienstag und mittwoch mal sonne mal wolken dazu schauer in der südosthälfte teils schwere gewitter .,"{'am dienstag und mittwoch wechseln sich sonne und wolken ab hier und da fallen schauer in der südosthälfte auch kräftige gewitter .', '11July_2009_Saturday_tagesschau-667'}","(51, 51)","[103, 59]",59.09090909090908,8.131393194811983,44.381268229929724,0.0,34.025914324743205,0.0,25.376192011638008,0.0,58.834951456245335,11.731772490144502,88.2509708404541,67.37117171287537,0.6934925317764282,0.21370407938957214
und nun die wettervorhersage für morgen dienstag den ersten februar .,"{'und nun die wettervorhersage für morgen dienstag den ersten februar .', '31January_2011_Monday_tagesschau-668'}","(52, 52)","[110, 158]",100.00000000000004,7.142857142857142,100.00000000000004,0.0,100.00000000000004,0.0,100.00000000000004,0.0,99.99999999994999,7.70303241543358,100.0,67.7359938621521,0.9467209577560425,0.18257001042366028
der tag beginnt ganz im osten noch freundlich später zeigt sich dann auch im nordwesten häufiger die sonne sonst überwiegen die wolken .,"{'04August_2011_Thursday_tagesschau-712', 'in der osthälfte zunächst noch freundlich später auch im nordwesten sonnig sonst wolkenlücken .'}","(53, 53)","[85, 133]",33.80065871308584,9.30627225044365,23.384400828851977,0.0,16.859213520829393,0.0,0.0,0.0,43.75964053383281,11.094564408029663,76.0647714138031,66.44613146781921,0.45395833253860474,0.26758772134780884
vielerorts gibt es schauer und gewitter die heftig ausfallen können .,"{'bei schauern und gewittern starke böen .', '04August_2011_Thursday_tagesschau-713'}","(54, 54)","[297, 485]",16.13480348593598,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,20.31063321385475,8.662961752148677,76.12583041191101,68.08755993843079,0.3909981846809387,0.2728208303451538
vor allem über dem bergland können sich im tagesverlauf stellenweise quellwolken bilden und im südwesten muss mit vereinzelten hitzegewittern gerechnet werden .,"{'26June_2010_Saturday_tagesschau-724', 'am tag halten sich über dem bergland zunächst noch viele wolken später bilden sich vor allem im südwesten einzelne gewitter .'}","(55, 55)","[156, 512]",45.40461689683223,14.285714285714283,29.425554861891772,0.0,16.31817840978898,0.0,0.0,0.0,32.522979556939106,14.774337178651903,75.42899250984192,69.70466375350952,0.3800554871559143,0.3368971645832062
meist weht der wind schwach aus westlichen richtungen .,"{'der wind weht meist nur schwach .', '26June_2010_Saturday_tagesschau-725'}","(56, 56)","[49, 314]",64.41233940645306,18.18181818181818,28.403171905560104,0.0,0.0,0.0,0.0,0.0,48.50746268654467,19.611650485371555,85.8873188495636,66.15592241287231,0.5823796391487122,0.1899927854537964
jetzt wünsche ich ihnen noch einen schönen abend .,"{'19April_2010_Monday_heute-782', 'und jetzt wünsche ich ihnen noch einen schönen abend .'}","(57, 57)","[127, 571]",90.0,24.856647689288046,89.44271909999159,0.0,88.79040017426006,0.0,88.01117367933934,0.0,94.21631000572432,20.936957779024322,98.52739572525024,68.16814541816711,0.912156879901886,0.25326627492904663
im westen und nordwesten fallen einzelne schauer .,"{'06October_2011_Thursday_tagesschau-823', 'im westen und nordwesten gibt es einzelne schauer .'}","(58, 58)","[35, 141]",77.77777777777777,12.980013051190083,69.72166887783968,0.0,59.281555074834415,0.0,43.167001068522545,0.0,81.78887993547556,14.462081128722264,95.80303430557251,66.57512784004211,0.681448221206665,0.15404744446277618
frischer wind mit starken bis stürmischen böen bei schauern an der nordsee und auf den bergen teilweise sturmböen .,"{'06October_2011_Thursday_tagesschau-825', 'der wind weht schwach bis mäßig an den küsten frisch dort bei schauern stürmische böen .'}","(59, 59)","[513, 426]",46.632887897647514,14.24555505603563,16.054079841168555,0.0,0.0,0.0,0.0,0.0,28.160657234108427,14.774337178666578,77.91693806648254,69.96596455574036,0.43255531787872314,0.49306464195251465
und nun die wettervorhersage für morgen samstag den fünften dezember .,"{'04December_2009_Friday_tagesschau-833', 'und nun die wettervorhersage für morgen samstag den fünften september .'}","(60, 60)","[494, 304]",90.90909090909088,11.111111111111109,85.28028654224414,0.0,82.70230439802374,0.0,80.70557274927978,0.0,90.9090909090409,12.080971659872679,95.60820460319519,69.23907399177551,0.8064404129981995,0.1266193836927414
nach einer kurzen wetterberuhigung erreicht uns morgen von westen ein neuer tiefausläufer .,"{'04December_2009_Friday_tagesschau-834', 'das wetter beruhigt sich vorübergehend und morgen übernimmt wieder ein atlantischer tiefausläufer die wetterregie .'}","(61, 61)","[83, 326]",26.66666666666667,5.555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,28.284278535472772,5.858653684708995,74.18288588523865,66.93624258041382,0.5763380527496338,0.15096747875213623
der sorgt wieder für wolken die regen im bergland auch schnee bringen .,"{'04December_2009_Friday_tagesschau-835', 'wolken bringt regen im bergland zum teil auch schnee .'}","(62, 62)","[12, 320]",51.85727544772027,7.05401437408845,35.78491978780161,0.0,22.803801652959717,0.0,0.0,0.0,58.89896778227458,7.60286225399182,84.77250337600708,65.66972136497498,0.44127577543258667,0.338480144739151
ab sonntag wird es wieder milder dabei gibt es viele wolken zeitweise fällt regen im nordwesten windig .,"{'am sonntag wird es milder dazu viele wolken und zeitweise regen in der nordwesthälfte windig .', '04December_2009_Friday_tagesschau-844'}","(63, 63)","[166, 403]",55.156056411537236,9.090909090909093,36.02778518198154,0.0,20.15054334497523,0.0,0.0,0.0,58.42062852534542,10.03798155174875,86.6607666015625,66.06485843658447,0.7187913060188293,0.14929436147212982
montag und dienstag wechselhaft hier und da zeigt sich aber auch die sonne .,"{'04December_2009_Friday_tagesschau-845', 'am montag und dienstag unbeständiges wetter hier und da zeigt sich auch mal die sonne .'}","(64, 64)","[587, 286]",74.99999999999997,12.473426467088238,63.245553203367585,0.0,52.275795857471,0.0,38.50322886878711,0.0,79.29824561397368,12.876455628386699,85.72070598602295,67.1671450138092,0.6851268410682678,0.14878296852111816
