text_ids,same_indices,random_indices,same_scores_i2t,different_scores_i2t
Away from the thunderstorms of weak to moderate wind,"(84, 84)","[102, 508]",49.521039962768555,39.83033752441406
It usually stays dry from the southwest to the middle,"(85, 85)","[61, 297]",74.72056198120117,28.545366287231445
Tomorrow temperatures of eighteen degrees on the coast to twenty -six in the Breisgau,"(86, 86)","[584, 286]",71.38694763183594,34.728044509887695
"In addition, a strong wind blows again above all things over Western Pomerania from southeast","(87, 87)","[130, 639]",53.12924337387085,30.00108051300049
"From Sunday it goes down again, it will be more changeable","(88, 88)","[142, 559]",67.05817699432373,22.40692138671875
It remains milder among the rain clouds in the east with fifteen sixteen degrees,"(89, 89)","[520, 172]",84.13034343719482,34.544769287109375
And now the weather forecast for tomorrow Tuesday the twenty -one June,"(90, 90)","[471, 158]",74.3410873413086,21.68724536895752
On the Saar tonight mild sixteen on the Elbe only eight degrees,"(91, 91)","[181, 298]",60.338510513305664,28.253967761993408
"On the Hochrhein tomorrow, warm thirty on the North Sea fresh eighteen degrees","(92, 92)","[193, 550]",67.668044090271,48.3016996383667
"And in this cooler actually more pleasant air there is still stormy wind on Thursday, at least in the north","(93, 93)","[313, 72]",63.452720642089844,28.241180419921875
Very mild air flows to us,"(94, 94)","[105, 336]",78.29358100891113,21.333065032958984
"And now the weather forecast for tomorrow Tuesday, nineteenth April","(95, 95)","[320, 475]",91.90278434753418,33.31174039840698
"Tomorrow in many places, especially in the south and east, some thunderstorms sometimes. Sometimes it rains heavily and storms are still possible","(96, 96)","[69, 17]",76.98847770690918,39.62974548339844
Tonight it is usually heavily cloudy rains or drizzles something,"(97, 97)","[244, 114]",69.95669460296631,50.32695960998535
There are more clouds here and there in the northeast,"(98, 98)","[476, 518]",74.42687034606934,51.38935375213623
"On Friday, the sun often seems to be away from the fog areas","(99, 99)","[255, 168]",82.10549068450928,26.280786752700806
"In the north and west tomorrow twenty to twenty -three, otherwise fifth twenty -fifth to twenty -nine degrees","(100, 100)","[226, 225]",79.39217758178711,35.8715386390686
This includes a low pressure area with mild air in your luggage,"(101, 101)","[461, 89]",79.64372539520264,39.093284606933594
"As I said, the floor is still frozen on the Rhine, the location relaxes with plus degrees","(102, 102)","[470, 142]",71.07611274719238,38.7534236907959
It usually remains cloudy as in this picture here,"(103, 103)","[409, 604]",56.039493560791016,36.601478576660156
"And in the west we hardly have snow anymore, but there are also exceptions the low mountain range","(104, 104)","[4, 65]",74.78338050842285,40.04879713058472
"In addition in the west, however, a little milder with minus four to minus seven degrees","(105, 105)","[9, 400]",83.81767272949219,35.46555805206299
Hello and good evening dear spectators,"(106, 106)","[99, 400]",81.25218677520752,28.041619777679443
And tomorrow it will be similar again in the southeastern half of,"(107, 107)","[92, 289]",66.50222969055176,31.28749179840088
"In the next few days this will no longer be the case, then overall it will be a bit cooler for the weekend, especially for the weekend","(108, 108)","[372, 624]",72.19902229309082,42.512688636779785
"Under the influence of low pressure, we can expect quite cool shower weather on Sunday","(109, 109)","[471, 72]",59.52992057800293,33.321189880371094
six degrees this night on the edge of the Alps up to fifteen degrees on the Oder,"(110, 110)","[207, 192]",73.0652904510498,41.99935245513916
similar weather on Thursday,"(111, 111)","[348, 412]",65.51762771606445,35.02041435241699
On Friday it is initially friendly in the southwest,"(112, 112)","[6, 3]",75.54576110839844,30.430596351623535
Otherwise it rains temporarily,"(113, 113)","[612, 468]",71.35349559783936,44.003156661987305
"In the other parts of the country, it usually gets friendly thanks to a high pressure zone that ranges from the Biscay to the Shetland Islands","(114, 114)","[355, 155]",74.75123691558838,35.447593688964844
On Tuesday it is usually friendly in the western half otherwise shower or thunderstorms in places,"(115, 115)","[488, 490]",90.57634544372559,26.453951597213745
The risk of flooding increases again.,"(116, 116)","[521, 178]",52.707855224609375,44.778194427490234
And the weather in the southeastern Mediterranean is only slowly calming down,"(117, 117)","[304, 414]",69.98023319244385,41.73863220214844
On the day three degrees on Usedom up to twelve degrees in Emsland,"(118, 118)","[197, 616]",57.29368782043457,33.861342430114746
"On Friday, partly the sun partly in the extreme south at the beginning still rainy","(119, 119)","[297, 351]",76.58331489562988,34.808353424072266
The sometimes heavy rain spreads through the middle of the day to the south,"(120, 120)","[458, 30]",45.931264877319336,17.7073495388031
"On the Elbe single showers in the northwest, however, much friendlier again","(121, 121)","[149, 470]",76.1235179901123,40.611313343048096
Otherwise individual showers on the North Sea also thunderstorms,"(122, 122)","[352, 87]",32.37565088272095,43.26059627532959
"At first it rains a bit in the mountain country, there is also snow in the afternoon in the west and northwest","(123, 123)","[247, 431]",67.39980030059814,57.36972427368164
"And now the weather forecast for tomorrow Wednesday, eighth September","(124, 124)","[171, 183]",84.45237350463867,56.49808883666992
"Weak to moderate in the north, partly fresh southeast to the east wind, which in the southwest later turns on the southwest on the coasts he blows heavily with stormy gusts","(125, 125)","[554, 43]",74.93310356140137,29.434558868408203
On Thursday it rains especially in the south and east in some places,"(126, 126)","[20, 148]",68.77764892578125,29.43803358078003
"On Sunday, especially in the east and south, shower or thunderstorms are otherwise mostly friendly","(127, 127)","[25, 239]",86.62835121154785,37.76838779449463
In the new week it cools down significantly in changeable weather,"(128, 128)","[215, 421]",82.54883193969727,32.50834083557129
On the day ten degrees on the North Frisian coast twenty degrees in Lower Bavaria,"(129, 129)","[638, 586]",67.19937515258789,39.67804765701294
"And then the new clouds are pushing up here in the northwest. In the afternoon, the first splashes of rain on the North Sea and the wind is freshening up from south southwest","(130, 130)","[350, 592]",65.2073335647583,48.11741638183594
Germany remains under the influence of gravure and in the next few days we mostly expect cloudy weather with a little rain or snow,"(131, 131)","[544, 298]",73.6590690612793,35.273300647735596
Tonight there are individual snow showers,"(132, 132)","[73, 463]",61.513023376464844,34.60218048095703
"Local, freezing rain is also the northeast","(133, 133)","[47, 41]",62.15191650390625,17.188148736953735
"In addition, a weak to moderate wind blows from southeast to south","(134, 134)","[432, 539]",76.55290699005127,19.151075839996338
"there tomorrow seven degrees northeast of the Elbe, sometimes only minus one degree","(135, 135)","[460, 423]",79.20981693267822,25.140552043914795
"The cold air remains with us, where the temperatures go back until Friday","(136, 136)","[474, 158]",75.43063831329346,27.10124444961548
"In the north of weak wind from different directions, otherwise it will blow moderate","(137, 137)","[122, 91]",71.88394165039062,46.29780197143555
Fresh wind in the altitudes of southern Germany,"(138, 138)","[430, 73]",72.69841957092285,24.82600212097168
"Even at the beginning of the coming week, little will change","(139, 139)","[202, 164]",64.75376510620117,25.96721649169922
"And now the weather forecast for tomorrow Monday, eighteenth April","(140, 140)","[511, 545]",85.68451118469238,35.972482204437256
Otherwise a lot of sun a few loose clouds in the northwest fall in the afternoon individual shower,"(141, 141)","[382, 346]",70.50994491577148,39.2336483001709
"Tonight there is also on the coasts of showers in the south, but there they gradually let go","(142, 142)","[571, 492]",81.86135292053223,22.533851861953735
Snow or freezing rain in the northern half of the day in the north half,"(143, 143)","[217, 479]",51.13891410827637,36.09752178192139
"At the weekend, the strong thaw continued to be accompanied by further rainfall","(144, 144)","[182, 243]",68.45816898345947,32.14315891265869
And now the weather forecast for tomorrow Saturday the thirty -one October,"(145, 145)","[53, 365]",80.33759307861328,27.515779972076416
"In the eastern half, the sun often seems to be away from the fog areas","(146, 146)","[0, 604]",79.92415237426758,28.3659930229187
"towards the west there are increased clouds during the day, but it remains largely dry","(147, 147)","[151, 299]",73.54432678222656,29.085795879364014
"In the south there are still clouds at the beginning of the night that drop a few drops here and there, otherwise it is usually clear or only cloudy cloudy","(148, 148)","[207, 78]",72.81782817840576,34.015244483947754
Fog forms especially in the northwest and in Bavaria,"(149, 149)","[238, 604]",71.08148002624512,33.04133701324463
"After its dissolution, the sun will be spreading tomorrow","(150, 150)","[34, 318]",59.14662742614746,35.57932233810425
Otherwise the high -pressure zone ensures that from the Atlantic to Scandinavia ranges for friendly weather,"(151, 151)","[556, 243]",77.85825729370117,25.864917755126953
On the day seven degrees on the Baltic Sea and fifteen degrees on the Rhine,"(152, 152)","[257, 27]",78.21665000915527,39.570087909698486
"On Saturday a lot of sunshine, especially on the Alps and coasts, it is also cloudy","(153, 153)","[159, 196]",80.07886219024658,41.776062965393066
Individual showers are possible in the very south,"(154, 154)","[535, 205]",78.06254768371582,33.125277519226074
"As soon as the fog during the day, the sun shines","(155, 155)","[387, 541]",60.74552917480469,29.309996604919434
"In the very south, there can be individual shower on the coasts occasionally clouds through clouds","(156, 156)","[411, 521]",63.6806697845459,26.946594715118408
"In the north, the wind blows weak to moderately from west to southwest otherwise weak wind from different directions","(157, 157)","[180, 410]",77.94465446472168,39.436790466308594
Including some of them snow,"(158, 158)","[373, 420]",68.61959457397461,24.99387812614441
"In contrast, it will still be dry in the north","(159, 159)","[449, 602]",63.80314254760742,50.28346395492554
We have snow and snow in the morning,"(160, 160)","[352, 518]",69.28556442260742,40.57114887237549
Saturday calms down something,"(161, 161)","[94, 341]",69.2110767364502,42.42498302459717
And it will be a little colder in the course of Sunday from the east,"(162, 162)","[505, 419]",84.69936847686768,38.41350603103638
I wish you a nice evening and do it well,"(163, 163)","[308, 408]",55.60263109207153,38.953288078308105
Sometimes it is also clear,"(164, 164)","[199, 57]",82.52988624572754,11.29843533039093
"In the south, violent thunderstorms discharged here and there later","(165, 165)","[538, 579]",75.74316883087158,47.77557611465454
Tonight warm thirteen to eighteen degrees,"(166, 166)","[252, 200]",71.20934009552002,36.37763833999634
"Especially in the southern mountain country, individual heat wives","(167, 167)","[433, 571]",62.6351318359375,47.58625602722168
That means further snowfall and light to moderate permanent frost,"(168, 168)","[508, 196]",70.21541213989258,23.177022457122803
At the weekend the weather is slowly calm down,"(169, 169)","[291, 147]",76.74002075195312,31.14488172531128
"On Saturday, it is easy to see in the north of the bright spots in the north","(170, 170)","[190, 327]",71.84136390686035,25.14230442047119
"Tonight, especially in a strip from Baden Württemberg to Saxony, snow showers in places","(171, 171)","[147, 235]",78.9147834777832,39.129263401031494
Caution because of the roadside road,"(172, 172)","[121, 461]",64.43343734741211,36.644036293029785
"Tonight it will be pretty icy, above all, in the low mountain ranges","(173, 173)","[183, 598]",71.07404327392578,32.11059808731079
And in the course of the night or in the morning probably it will only start to snow in the southwest,"(174, 174)","[605, 352]",51.7186336517334,47.013352394104004
"On Friday, however, it is slowly going down in the east thunderstorm","(175, 175)","[338, 537]",67.04646110534668,33.14791488647461
And from Saturday Sunday cool autumn weather that is now just part of it,"(176, 176)","[517, 586]",75.56229019165039,40.40818119049072
I wish you a nice evening and bye,"(177, 177)","[268, 535]",66.42316246032715,32.9258770942688
The weather will definitely be high above the North Sea tomorrow in the whole country,"(178, 178)","[488, 453]",61.403000831604004,60.394232749938965
Even at the weekend it provides a lot of sunshine with increasing temperatures,"(179, 179)","[265, 227]",87.10096549987793,45.035873889923096
On the day sixteen degrees on the Baltic Sea and up to twenty -seven degrees on the Upper Rhine,"(180, 180)","[19, 28]",85.22392654418945,19.850898265838623
The wind usually blows weakly from different directions,"(181, 181)","[562, 366]",68.49536609649658,25.470773220062256
He also lives up a little on the lake and comes from west,"(182, 182)","[409, 334]",62.640525817871094,54.394235610961914
Another deep that is over Spain tomorrow will ensure that it will snow hard on Friday,"(183, 183)","[597, 470]",78.93064498901367,41.97718572616577
"Especially towards the coast and in the southwest, it can snow a little at night","(184, 184)","[66, 7]",73.47628784179688,29.88558053970337
I wish you a nice evening and do it well,"(185, 185)","[16, 455]",72.01296997070312,41.0971622467041
Tonight twelve degrees in Cologne bay one degree in Brandenburg,"(186, 186)","[350, 595]",77.84434509277344,27.91252303123474
On the day eleven degrees in the Vogtland and twenty -first degrees on the Upper Rhine,"(187, 187)","[305, 538]",80.73023223876953,30.558756828308105
During the night it rains especially from Schleswig Holstein to the Oder and in the south,"(188, 188)","[631, 187]",55.0773720741272,28.035671710968018
On the day four degrees in the Sauerland and twelve degrees in Breisgau,"(189, 189)","[213, 2]",88.75185775756836,32.440542221069336
On the day nineteen degrees on the North Sea and twenty -six degrees in parts of Thuringia and Saxony,"(190, 190)","[131, 317]",58.87240219116211,59.70541191101074
"And now the weather forecast for tomorrow Wednesday, twenty -seven January","(191, 191)","[552, 102]",86.2234354019165,37.391496658325195
Tomorrow we can expect quite quiet winter weather in many places and in many places,"(192, 192)","[437, 364]",77.35335922241211,48.64230823516846
"When it has disappeared, the sun will be shown in the south tomorrow while the clouds continue to spread towards the Danube and get bigger gaps","(193, 193)","[439, 84]",69.28795433044434,29.427112102508545
"In the southeastern half of Germany, it will remain quite friendly tomorrow under light high pressure influence","(194, 194)","[0, 268]",74.70858573913574,36.28171157836914
The northeast of Germany is usually on the sunny side thanks to the influence of the high pressure,"(195, 195)","[175, 422]",68.99001026153564,30.337142944335938
"At night, especially in the northwestern half of the northwest, it must be expected with showers and thunderstorms that can be violent","(196, 196)","[308, 478]",82.91038227081299,26.24290370941162
Good evening dear spectators,"(197, 197)","[245, 138]",82.30365943908691,38.48027992248535
"In the next few hours, up to five centimeters of snow can still fall","(198, 198)","[195, 210]",85.20313167572021,43.39419412612915
"In the east and south on Tuesday, individual showers down to medium layers of snow otherwise partly fog partly clouds or sun","(199, 199)","[495, 158]",74.03559303283691,20.328255653381348
"On Wednesday, rain moves up from the North Sea, which spreads on Thursday","(200, 200)","[387, 166]",69.49299240112305,31.62518310546875
towards the southeast a mixture of fog clouds and sun,"(201, 201)","[210, 183]",66.46651458740234,47.9055290222168
west of the Rhine and in the northeast it usually stays dry,"(202, 202)","[485, 28]",82.51216888427734,46.49505949020386
"It is partly very cloudy or foggy, partly friendly with sunshine","(203, 203)","[101, 402]",74.9914026260376,35.06235122680664
It will be much friendlier,"(204, 204)","[257, 413]",71.96220111846924,19.622400045394897
"Not quite there tonight, we have a little bit of struggle with rain on the coasts","(205, 205)","[312, 316]",45.56747817993164,41.67757606506348
"In the southern half, the wind blows weakly to moderately towards coasts fresh and strongly gusty","(206, 206)","[616, 473]",67.83371543884277,25.489725589752197
"On Friday, calm dry weather, especially in the north, is quite friendly, similar to the weather on Saturday, only in the north there is a little snow or freezing drizzle","(207, 207)","[377, 108]",74.7592945098877,56.70113754272461
Dear viewers good evening,"(208, 208)","[620, 456]",79.95360565185547,64.18619537353516
A tough weather change since yesterday even with tornados,"(209, 209)","[393, 501]",56.969635009765625,29.971306800842285
The next bigger rain for us is probably only in sight on Thursday,"(210, 210)","[278, 625]",71.8565845489502,33.7046799659729
Local stormy gusts on the Baltic Sea tonight,"(211, 211)","[472, 446]",83.42443943023682,33.37720584869385
Tomorrow weak to moderate on the lake fresh wind from southwest to west,"(212, 212)","[469, 198]",74.14511489868164,32.99424648284912
I wish you a nice evening,"(213, 213)","[619, 149]",69.34103965759277,31.929739475250244
A lot of sunshine later form here and there a few spring clouds form here and there again,"(214, 214)","[361, 194]",77.64715766906738,35.65358638763428
Wednesday and Thursday it remains windy in the north and there is rain there in areas,"(215, 215)","[544, 34]",65.64363861083984,42.07077598571777
It gets friendlier every day from the south,"(216, 216)","[453, 391]",65.5974760055542,41.12886190414429
Good evening dear spectators,"(217, 217)","[310, 298]",69.47779846191406,39.3018274307251
A frosty cold night lies ahead of us,"(218, 218)","[399, 268]",60.84956359863281,42.94822931289673
"And now the weather forecast for tomorrow Tuesday, twenty -five May","(219, 219)","[404, 343]",85.12443161010742,39.763400077819824
"And now the weather forecast for tomorrow Thursday, twenty -seven August","(220, 220)","[367, 411]",85.01072406768799,32.95419216156006
On Saturday it gets much cooler and very windy in the north,"(221, 221)","[174, 421]",74.60224151611328,22.742289543151855
"As of Sunday, temperatures and sunshine duration will rise again","(222, 222)","[612, 452]",82.58082866668701,32.13409662246704
"This leads to violent showers and thunderstorms, some of which can be stormy","(223, 223)","[289, 165]",71.02083778381348,23.01629114151001
"In the east and south, heavy rain and hail must be expected at the beginning of the night","(224, 224)","[382, 351]",73.20266342163086,36.20693016052246
"In the southeast it is dry tonight, otherwise it rains strongly in the north half","(225, 225)","[629, 118]",74.37240314483643,41.21556615829468
In the very north and there is snow here and there,"(226, 226)","[40, 337]",64.03108501434326,34.87336826324463
"At night it is usually clear or only slightly cloudy, especially in the river lowlands in the middle and south, a few fog fields Wabern again","(227, 227)","[15, 62]",72.76627826690674,25.58409357070923
And now the weather forecast for tomorrow Friday the twenty -eightth August,"(228, 228)","[381, 394]",85.44941902160645,48.36904430389404
From Scotland a deep moves to Norway,"(229, 229)","[408, 150]",86.90822410583496,40.383968353271484
"His cold front will also reach Germany, including clouds, tomorrow","(230, 230)","[348, 501]",39.08640193939209,22.914676666259766
The high above Scandinavia shifted a little to the east,"(231, 231)","[262, 614]",58.89390468597412,32.18127727508545
"In a strip from Emsland to Lausitz, dense clouds are on the way, otherwise it is partly clearly cloudy","(232, 232)","[327, 538]",71.24169731140137,38.53976058959961
But during the night it becomes increasingly cloudy,"(233, 233)","[631, 307]",73.23895263671875,26.901400089263916
The strong Mediterranean deep extends its influence to the north and tomorrow ensures a cloudy sky in almost all of Germany,"(234, 234)","[153, 54]",67.07538032531738,34.684672355651855
"In the north it will stay dry tomorrow otherwise, otherwise there will be a common rain.","(235, 235)","[242, 60]",81.72438716888428,36.987361907958984
"In parts of Bavaria and Saxony, in addition to showers and thunderstorms, there are also cloud gaps","(236, 236)","[103, 421]",84.52541255950928,43.811530113220215
"In the day, especially in the north, rain","(237, 237)","[193, 96]",61.24241638183594,33.870975494384766
At the weekend it gets a little warmer with shower thunderstorms and occasional sunshine in changeable weather,"(238, 238)","[156, 181]",70.4438419342041,36.024282455444336
"Tomorrow these rain clouds will spread across the middle towards the west, but above all to Baden Württemberg and Bavaria","(239, 239)","[505, 169]",86.10062217712402,22.99610710144043
"And now the weather forecast for tomorrow Saturday, April second","(240, 240)","[328, 253]",78.7240047454834,29.652324199676514
"Northeast of the Elbe, there are still many clouds tonight that initially bring a few drops","(241, 241)","[295, 574]",77.22405052185059,49.46627235412598
Everywhere changeable and much cooler everywhere,"(242, 242)","[198, 344]",64.44892501831055,48.599937438964844
But from Tuesday it will slowly become friendlier and warmer,"(243, 243)","[116, 49]",63.17545127868652,25.108174800872803
