text_ids,video_ids,same_indices,random_indices,same_scores_i2t,different_scores_i2t
Who sent WeChat.,S000236_P0008_T00,"(20, 20)","[847, 1031]",73.53755760192871,39.64032983779907
When did he start playing football?,S000249_P0000_T00,"(21, 21)","[1085, 984]",79.76470947265625,31.63206911087036
When did he start playing football?,S000249_P0008_T00,"(22, 22)","[1026, 784]",79.76470947265625,47.69852161407471
Did you buy Apple?,S000255_P0000_T00,"(23, 23)","[1008, 202]",73.03355407714844,47.00105905532837
Did you buy Apple?,S000255_P0008_T00,"(24, 24)","[537, 321]",73.03355407714844,35.64373970031738
How about we went to a restaurant at night?,S000257_P0000_T00,"(25, 25)","[1108, 1107]",86.00669479370117,62.29429626464844
"Look at me, how about this dress?",S000262_P0004_T00,"(26, 26)","[984, 612]",73.4710807800293,36.37367630004883
The weather is a bit cold today.,S000274_P0000_T00,"(27, 27)","[808, 68]",83.0640640258789,30.122251510620117
I was a little tired yesterday.,S000275_P0004_T00,"(28, 28)","[136, 381]",80.11515808105469,24.8963041305542
I swim every day this month.,S000291_P0000_T00,"(29, 29)","[235, 813]",77.75677299499512,53.37357139587402
I swim every day this month.,S000291_P0004_T00,"(30, 30)","[656, 770]",77.75677299499512,44.75744962692261
"No, he went to see his classmate.",S000295_P0000_T00,"(31, 31)","[1063, 173]",76.32479095458984,35.63165998458862
"No, he went to see his classmate.",S000295_P0008_T00,"(32, 32)","[13, 51]",76.32479095458984,30.86657428741455
"Yes, there is a restaurant not far from here, and it will arrive for a few minutes.",S000313_P0004_T00,"(33, 33)","[978, 506]",77.14425563812256,46.49582052230835
"Yes, there is a restaurant not far from here, and it will arrive for a few minutes.",S000313_P0008_T00,"(34, 34)","[141, 256]",77.14425563812256,36.244417667388916
The company is far away from home. Why don't she take a taxi?,S000317_P0004_T00,"(35, 35)","[955, 1121]",79.62063407897949,45.89947509765625
The company is far away from home. Why don't she take a taxi?,S000317_P0008_T00,"(36, 36)","[278, 210]",79.62063407897949,47.4433388710022
How about this red clothes? this is new.,S000331_P0004_T00,"(37, 37)","[886, 872]",76.87499713897705,48.1549506187439
How about this red clothes? this is new.,S000331_P0008_T00,"(38, 38)","[487, 111]",76.87499713897705,37.33764362335205
Is the girl who watched the mobile phone on the left? Is your girlfriend?,S000362_P0000_T00,"(39, 39)","[1174, 187]",74.95497989654541,33.414743423461914
Is the girl who watched the mobile phone on the left? Is your girlfriend?,S000362_P0004_T00,"(40, 40)","[246, 472]",74.95497989654541,35.51283550262451
You get up earlier than me.,S000373_P0000_T00,"(41, 41)","[1142, 806]",66.44718170166016,47.774948596954346
You get up earlier than me.,S000373_P0008_T00,"(42, 42)","[248, 960]",66.44718170166016,47.47330617904663
"It's snowing, it's really cold today.",S000379_P0004_T00,"(43, 43)","[1160, 807]",83.2452564239502,47.34010887145996
"It's snowing, it's really cold today.",S000379_P0008_T00,"(44, 44)","[762, 559]",83.2452564239502,35.52184772491455
I don't know that boy.,S000388_P0000_T00,"(45, 45)","[169, 46]",63.7671537399292,39.426856994628906
Time is so fast that the New Year is coming.,S000414_P0004_T00,"(46, 46)","[617, 476]",77.09115695953369,36.92678642272949
Time is so fast that the New Year is coming.,S000414_P0008_T00,"(47, 47)","[782, 344]",77.09115695953369,34.178682804107666
That can't go online all the time.,S000433_P0000_T00,"(48, 48)","[839, 118]",69.71147537231445,41.04634666442871
That can't go online all the time.,S000433_P0004_T00,"(49, 49)","[478, 1151]",69.71147537231445,45.514469623565674
"Fruit, bread, and tea are ready. What else do we bring?",S000438_P0004_T00,"(50, 50)","[1046, 555]",84.4471263885498,48.88836193084717
"Fruit, bread, and tea are ready. What else do we bring?",S000438_P0008_T00,"(51, 51)","[535, 398]",84.4471263885498,36.946279525756836
I was ready yesterday afternoon.,S000440_P0000_T00,"(52, 52)","[1081, 288]",63.351009368896484,40.09866809844971
I was ready yesterday afternoon.,S000440_P0004_T00,"(53, 53)","[739, 970]",63.351009368896484,54.36458206176758
"You see, I am so fat, what should I do?",S000452_P0004_T00,"(54, 54)","[521, 535]",75.57621574401855,46.16934108734131
"You see, I am so fat, what should I do?",S000452_P0008_T00,"(55, 55)","[193, 778]",75.57621574401855,28.67477512359619
But you are not thin at all. What exercise did you do?,S000455_P0000_T00,"(56, 56)","[386, 734]",65.43703842163086,38.02056312561035
But you are not thin at all. What exercise did you do?,S000455_P0008_T00,"(57, 57)","[524, 431]",65.43703842163086,36.9405517578125
"On a cloudy day, it is cloudy on the TV, what's wrong? What happens tomorrow?",S000460_P0000_T00,"(58, 58)","[414, 815]",69.72033405303955,36.9522008895874
"On a cloudy day, it is cloudy on the TV, what's wrong? What happens tomorrow?",S000460_P0004_T00,"(59, 59)","[119, 518]",69.72033405303955,38.36466312408447
"I don't go to climb the mountain, I have something to do.",S000464_P0000_T00,"(60, 60)","[619, 24]",79.03118801116943,36.39565944671631
"I don't go to climb the mountain, I have something to do.",S000464_P0004_T00,"(61, 61)","[856, 140]",79.03118801116943,35.39860725402832
I remember you already have two such pants.,S000466_P0000_T00,"(62, 62)","[93, 1057]",81.94174194335938,28.067411422729492
I remember you already have two such pants.,S000466_P0008_T00,"(63, 63)","[657, 471]",81.94174194335938,26.80191683769226
How about this pants?,S000468_P0000_T00,"(64, 64)","[642, 49]",91.17180633544922,50.403379917144775
How about this pants?,S000468_P0008_T00,"(65, 65)","[457, 657]",91.17180633544922,42.103647232055664
"There are a lot of drinks on the table, what do you drink?",S000475_P0008_T00,"(66, 66)","[377, 219]",79.18424224853516,47.95271301269531
"Do you go to the room to find, did you just put it on the table just now?",S000496_P0000_T00,"(67, 67)","[300, 811]",77.89333152770996,40.9496488571167
The school is too big and tired.,S000502_P0000_T00,"(68, 68)","[144, 1126]",83.66650772094727,33.830787658691406
What happened to I drink coffee?,S000504_P0004_T00,"(69, 69)","[581, 75]",77.30722332000732,39.67549419403076
What happened to I drink coffee?,S000504_P0008_T00,"(70, 70)","[391, 367]",77.30722332000732,29.42864418029785
Then why don't you go now?,S000550_P0004_T00,"(71, 71)","[14, 531]",77.82335662841797,27.709123849868774
Then why don't you go now?,S000550_P0008_T00,"(72, 72)","[616, 326]",77.82335662841797,27.58651089668274
Do you want to take a few days off?,S000560_P0008_T00,"(73, 73)","[467, 637]",57.502824783325195,38.47820711135864
"Xiao Zhang, is that girl from your company? Do you know her?",S000561_P0000_T00,"(74, 74)","[779, 918]",82.95155143737793,44.160653591156006
"Xiao Zhang, is that girl from your company? Do you know her?",S000561_P0004_T00,"(75, 75)","[674, 53]",82.95155143737793,35.20317888259888
"No need to go to the hospital. I asked you, how long did you not exercise?",S000568_P0008_T00,"(76, 76)","[1171, 348]",75.51971244812012,51.67648983001709
Say why you choose to work in our company.,S000573_P0000_T00,"(77, 77)","[1016, 1104]",79.67681694030762,49.44173240661621
"As long as I agree, I believe my wife will agree.",S000576_P0004_T00,"(78, 78)","[240, 635]",74.29304218292236,40.616143226623535
"As long as I agree, I believe my wife will agree.",S000576_P0008_T00,"(79, 79)","[146, 730]",74.29304218292236,39.52550411224365
"No, thank you for giving me this opportunity, I will work hard.",S000578_P0000_T00,"(80, 80)","[200, 226]",56.208889961242676,36.26072311401367
"No, thank you for giving me this opportunity, I will work hard.",S000578_P0008_T00,"(81, 81)","[256, 58]",56.208889961242676,39.19499588012695
"Put the tea and cups first, and then take out the watermelon in the refrigerator.",S000598_P0000_T00,"(82, 82)","[238, 879]",68.46407699584961,30.894038200378418
"Put the tea and cups first, and then take out the watermelon in the refrigerator.",S000598_P0004_T00,"(83, 83)","[107, 947]",68.46407699584961,38.65456962585449
I wore a small dress and gave it to my brother.,S000603_P0008_T00,"(84, 84)","[522, 428]",79.69261169433594,40.2791862487793
Tomorrow Shanghai will be snowing.,S000616_P0008_T00,"(85, 85)","[1117, 999]",70.14183902740479,47.701956272125244
Eat more fruits after lunch.,S000620_P0000_T00,"(86, 86)","[468, 188]",68.46358299255371,36.63350200653076
I eat bread and milk for breakfast.,S000625_P0004_T00,"(87, 87)","[14, 408]",79.74595737457275,35.45237350463867
I eat bread and milk for breakfast.,S000625_P0008_T00,"(88, 88)","[501, 453]",79.74595737457275,38.46876764297485
"What do you eat, I treat.",S000637_P0000_T00,"(89, 89)","[1034, 543]",66.36547756195068,53.04730224609375
"What do you eat, I treat.",S000637_P0008_T00,"(90, 90)","[59, 325]",66.36547756195068,35.57037687301636
"I want to try this dress, where is it?",S000638_P0004_T00,"(91, 91)","[443, 227]",76.90539169311523,37.73812007904053
"I want to try this dress, where is it?",S000638_P0008_T00,"(92, 92)","[210, 272]",76.90539169311523,44.51123237609863
The weather forecast will be snowing tomorrow and wear more clothes.,S000656_P0004_T00,"(93, 93)","[350, 461]",88.36140823364258,56.472373962402344
The weather forecast will be snowing tomorrow and wear more clothes.,S000656_P0008_T00,"(94, 94)","[449, 578]",88.36140823364258,23.28292441368103
The supermarket is next to the hospital.,S000669_P0000_T00,"(95, 95)","[857, 860]",67.70914649963379,40.921630859375
I booked a birthday cake for you.,S000673_P0000_T00,"(96, 96)","[102, 736]",70.22975826263428,30.04775047302246
I booked a birthday cake for you.,S000673_P0008_T00,"(97, 97)","[964, 527]",70.22975826263428,45.43491172790527
"I like winter, and it is so beautiful.",S000690_P0000_T00,"(98, 98)","[1128, 631]",66.40167999267578,42.49637317657471
"I like winter, and it is so beautiful.",S000690_P0008_T00,"(99, 99)","[1158, 763]",66.40167999267578,35.47209358215332
The summer in Shanghai is too hot to buy air conditioners.,S000695_P0004_T00,"(100, 100)","[95, 222]",81.81191921234131,40.93601703643799
The summer in Shanghai is too hot to buy air conditioners.,S000695_P0008_T00,"(101, 101)","[831, 961]",81.81191921234131,34.189457416534424
We take the bus back to school.,S000708_P0000_T00,"(102, 102)","[57, 190]",86.8521614074707,31.37256383895874
We take the bus back to school.,S000708_P0004_T00,"(103, 103)","[286, 1101]",86.8521614074707,46.417744636535645
Our flight is delayed and now lives in the hotel.,S000718_P0000_T00,"(104, 104)","[232, 833]",70.06163024902344,31.128369331359863
Our flight is delayed and now lives in the hotel.,S000718_P0004_T00,"(105, 105)","[686, 252]",70.06163024902344,28.005187034606934
"After running, I want to drink drinks.",S000724_P0000_T00,"(106, 106)","[230, 142]",69.71367168426514,45.264841079711914
"After running, I want to drink drinks.",S000724_P0004_T00,"(107, 107)","[220, 231]",69.71367168426514,41.78226137161255
Do you have time at night? I want to run with you.,S000783_P0000_T00,"(108, 108)","[401, 309]",84.3203010559082,44.342597007751465
"The bus platform is too far, let's take a taxi home.",S000786_P0000_T00,"(109, 109)","[61, 1069]",78.21241760253906,38.61978578567505
His daughter wrote my homework very late every night.,S000788_P0004_T00,"(110, 110)","[762, 369]",78.08977127075195,50.450560569763184
His daughter wrote my homework very late every night.,S000788_P0008_T00,"(111, 111)","[221, 346]",78.08977127075195,43.17421245574951
I wish you a happy birthday and more beautiful.,S000791_P0000_T00,"(112, 112)","[1009, 546]",75.57417964935303,33.72592544555664
Where is a delicious restaurant near the school?,S000809_P0000_T00,"(113, 113)","[1090, 385]",82.2790060043335,61.18975830078125
Where is a delicious restaurant near the school?,S000809_P0004_T00,"(114, 114)","[590, 980]",82.2790060043335,41.10618782043457
Today's dinner is noodles and dumplings.,S000823_P0000_T00,"(115, 115)","[19, 789]",82.92564964294434,37.72286605834961
Today's dinner is noodles and dumplings.,S000823_P0008_T00,"(116, 116)","[657, 468]",82.92564964294434,33.78529930114746
The mobile phone cannot choose the position near the window.,S000849_P0000_T00,"(117, 117)","[60, 338]",78.89380836486816,40.47172403335571
The mobile phone cannot choose the position near the window.,S000849_P0004_T00,"(118, 118)","[796, 314]",78.89380836486816,45.16646766662598
Where can I pick up the suitcase?,S000852_P0000_T00,"(119, 119)","[1001, 873]",64.20381927490234,33.585097789764404
Where can I pick up the suitcase?,S000852_P0008_T00,"(120, 120)","[1053, 16]",64.20381927490234,36.761996269226074
"There are many subways in Shanghai, I don't know which subway take.",S000860_P0004_T00,"(121, 121)","[859, 1113]",80.57563591003418,41.268911838531494
"There are many subways in Shanghai, I don't know which subway take.",S000860_P0008_T00,"(122, 122)","[468, 465]",80.57563591003418,37.758968353271484
"The airport is far away from my house, and I take a taxi to the airport.",S000874_P0004_T00,"(123, 123)","[669, 795]",80.20498657226562,28.49796199798584
"The airport is far away from my house, and I take a taxi to the airport.",S000874_P0008_T00,"(124, 124)","[933, 169]",80.20498657226562,35.52212142944336
"From Hefei to Beijing, it is recommended to take the high -speed rail, and the seats are comfortable.",S000877_P0004_T00,"(125, 125)","[121, 414]",76.29887580871582,40.85480356216431
"From Hefei to Beijing, it is recommended to take the high -speed rail, and the seats are comfortable.",S000877_P0008_T00,"(126, 126)","[899, 887]",76.29887580871582,41.24488925933838
There are many delicious restaurants nearby.,S000903_P0000_T00,"(127, 127)","[80, 841]",76.98396492004395,25.526151657104492
"The waiter, hold a tissue paper, sprinkle the drink.",S000912_P0008_T00,"(128, 128)","[798, 908]",67.3209867477417,47.605502128601074
"I like to drink milk tea, I like it sweet.",S000914_P0008_T00,"(129, 129)","[608, 591]",83.46118927001953,33.51531982421875
"Today the fruit is very fresh, buy a watermelon home.",S000931_P0008_T00,"(130, 130)","[943, 424]",91.85487937927246,29.76395559310913
"Drink less, eat more vegetables, and then go home.",S000934_P0008_T00,"(131, 131)","[465, 402]",80.82972717285156,42.47409629821777
My wife likes to drink acid recently. Do you have a son?,S000937_P0008_T00,"(132, 132)","[282, 1146]",86.48392868041992,42.28787708282471
I was uncomfortable with noodles.,S000945_P0008_T00,"(133, 133)","[1023, 9]",85.14676856994629,31.221559047698975
I drove to the high -speed rail station to pick up my son.,S000962_P0000_T00,"(134, 134)","[110, 603]",82.66716575622559,43.21040153503418
Where are you going to travel with your wife this year?,S000963_P0008_T00,"(135, 135)","[599, 388]",78.20819854736328,43.49663972854614
"You like this skirt, I can take one for you.",S000966_P0008_T00,"(136, 136)","[684, 97]",79.29042625427246,45.493247509002686
"This pants are discounted, and I buy one for my son.",S000968_P0008_T00,"(137, 137)","[1134, 716]",79.00487899780273,40.9074649810791
"I took a pair of pants, where can I check out?",S000969_P0008_T00,"(138, 138)","[621, 1098]",68.26730346679688,38.720762729644775
Who is your boyfriend on the right? very beautiful.,S000988_P0000_T00,"(139, 139)","[889, 50]",87.62357425689697,49.993367195129395
"My brother likes to play football, and his body is very good.",S000998_P0000_T00,"(140, 140)","[709, 565]",72.77699279785156,32.01077938079834
How much does it cost to listen to your school?,S001026_P0000_T00,"(141, 141)","[512, 373]",69.76421356201172,41.5909218788147
I want to find deaf friends to learn sign language.,S001027_P0000_T00,"(142, 142)","[238, 751]",74.8746509552002,29.327513694763184
Mobile phones can learn sign language.,S001030_P0008_T00,"(143, 143)","[163, 960]",77.18985748291016,48.41846799850464
"I have a friend to work in a bank, and he knows how to loan.",S001035_P0000_T00,"(144, 144)","[848, 786]",89.3570384979248,40.43123912811279
"Mom, classmate bought a new watch, I want to buy it too.",S001051_P0000_T00,"(145, 145)","[717, 1111]",77.39339351654053,51.178250789642334
Grandpa is old and likes to climb mountains.,S001064_P0008_T00,"(146, 146)","[272, 895]",88.34108066558838,47.33845663070679
"Introduce, he is my table tennis teacher.",S001072_P0008_T00,"(147, 147)","[4, 568]",78.45463943481445,36.74787712097168
Drink a cup of coffee when you are tired.,S001073_P0000_T00,"(148, 148)","[794, 885]",72.25198078155518,17.423300981521606
"Go home from school at night, there are many bus people.",S001081_P0000_T00,"(149, 149)","[831, 763]",76.25998306274414,51.67518472671509
"The cake is too sweet, eating too much is not good for your body.",S001090_P0000_T00,"(150, 150)","[221, 841]",79.88666152954102,37.838215827941895
Police check your ID card.,S001091_P0000_T00,"(151, 151)","[371, 141]",68.71940994262695,40.909157276153564
"The son is getting thinner and thinner, let him eat more at school.",S001095_P0008_T00,"(152, 152)","[910, 400]",81.89370346069336,23.73366904258728
"The weather is good today, Dad and Grandpa will go out to run.",S001126_P0008_T00,"(153, 153)","[1054, 434]",90.05983829498291,34.727603912353516
Her sister is a teacher and usually drives to school.,S001142_P0000_T00,"(154, 154)","[278, 727]",86.26827621459961,35.00116157531738
"My passport forgot to bring it, I need to go home.",S001143_P0000_T00,"(155, 155)","[188, 713]",85.46753025054932,36.234811305999756
My grandpa is very old and is not suitable for flying.,S001147_P0000_T00,"(156, 156)","[903, 913]",69.05069923400879,31.43778896331787
You can't take a single ticket to take a car twice.,S001164_P0000_T00,"(157, 157)","[295, 673]",64.83371353149414,30.93726682662964
"Driver, I got off at the traffic light intersection in front.",S001173_P0000_T00,"(158, 158)","[995, 875]",66.76337051391602,44.125452518463135
"Because the weather was not good, the aircraft was canceled.",S001178_P0008_T00,"(159, 159)","[133, 68]",66.12227439880371,33.44515800476074
I didn't buy a train sleeper ticket.,S001186_P0000_T00,"(160, 160)","[638, 639]",78.16543388366699,46.3961386680603
I have breakfast and lunch at home and lunch at school.,S001221_P0008_T00,"(161, 161)","[140, 184]",75.50786972045898,30.57411766052246
How is your company's lunch?,S001222_P0004_T00,"(162, 162)","[603, 976]",66.47365760803223,28.376427173614502
How is your company's lunch?,S001222_P0008_T00,"(163, 163)","[1100, 22]",66.47365760803223,41.77854633331299
"Today's vegetables are so salty, I want to drink drinks.",S001227_P0000_T00,"(164, 164)","[777, 622]",80.40720748901367,44.15281295776367
"Today's vegetables are so salty, I want to drink drinks.",S001227_P0004_T00,"(165, 165)","[780, 275]",80.40720748901367,26.81269645690918
"This dish is too spicy, I need to drink some water.",S001232_P0000_T00,"(166, 166)","[209, 686]",85.13286972045898,31.36862850189209
"This dish is too spicy, I need to drink some water.",S001232_P0004_T00,"(167, 167)","[1072, 763]",85.13286972045898,45.63414192199707
"Today is my sister's birthday, I will make fish.",S001236_P0004_T00,"(168, 168)","[764, 446]",75.96037673950195,32.64509963989258
"Today is my sister's birthday, I will make fish.",S001236_P0008_T00,"(169, 169)","[48, 498]",75.96037673950195,44.99375343322754
"Waiting, where is the bathroom.",S001246_P0000_T00,"(170, 170)","[688, 483]",74.05459213256836,53.91903781890869
"Waiting, where is the bathroom.",S001246_P0008_T00,"(171, 171)","[900, 1040]",74.05459213256836,28.39306640625
"My wife had a cold, and I took her to the hospital.",S001252_P0000_T00,"(172, 172)","[553, 677]",87.12342262268066,44.44691848754883
"You go to the supermarket to buy an umbrella, I am waiting for you at the cashier.",S001260_P0000_T00,"(173, 173)","[539, 758]",83.27535057067871,44.2119665145874
"You go to the supermarket to buy an umbrella, I am waiting for you at the cashier.",S001260_P0004_T00,"(174, 174)","[1018, 462]",83.27535057067871,61.47717475891113
I have to go to the supermarket to buy some juice home after get off work.,S001266_P0002_T00,"(175, 175)","[487, 884]",79.81795501708984,34.91105937957764
"The fruit of this store is cheap, I want to buy some bananas.",S001268_P0000_T00,"(176, 176)","[199, 734]",81.4154748916626,37.57814311981201
"The fruit of this store is cheap, I want to buy some bananas.",S001268_P0008_T00,"(177, 177)","[189, 998]",81.4154748916626,38.917088985443115
"Don't eat too much chocolate, bad for your body.",S001292_P0004_T00,"(178, 178)","[1109, 666]",79.96490097045898,41.96834373474121
"Don't eat too much chocolate, bad for your body.",S001292_P0008_T00,"(179, 179)","[365, 491]",79.96490097045898,47.525864124298096
"Parents have a birthday, you should get up early for breakfast.",S001298_P0004_T00,"(180, 180)","[368, 303]",87.02868747711182,46.17523908615112
"The weather is too cold, let's play basketball.",S001308_P0000_T00,"(181, 181)","[1091, 957]",90.11192893981934,46.44764518737793
"The weather is too cold, let's play basketball.",S001308_P0004_T00,"(182, 182)","[1050, 937]",90.11192893981934,33.320412158966064
"My grandfather can sign a sign language, and there are many deaf friends.",S001315_P0004_T00,"(183, 183)","[518, 555]",78.78515434265137,28.39110040664673
"The patient could not be discharged after the operation, and the nurse would take care of him.",S001324_P0000_T00,"(184, 184)","[879, 595]",68.83332443237305,33.014994621276855
"The patient could not be discharged after the operation, and the nurse would take care of him.",S001324_P0004_T00,"(185, 185)","[426, 164]",68.83332443237305,39.88435077667236
I went to climb the mountain today and went home for dinner at night.,S001349_P0000_T00,"(186, 186)","[811, 905]",82.41597175598145,43.047367095947266
"I have two clothes, one is red and the other is yellow.",S001354_P0000_T00,"(187, 187)","[1075, 468]",76.57686614990234,43.37631320953369
"I have two clothes, one is red and the other is yellow.",S001354_P0004_T00,"(188, 188)","[698, 775]",76.57686614990234,38.9909725189209
The boy wearing black shoes is my boyfriend.,S001356_P0000_T00,"(189, 189)","[495, 11]",84.12137794494629,41.310264587402344
The boy wearing black shoes is my boyfriend.,S001356_P0008_T00,"(190, 190)","[47, 349]",84.12137794494629,48.524314880371094
"My daughter has no mobile phone, and I can only call her friends.",S001357_P0000_T00,"(191, 191)","[594, 274]",86.08968734741211,38.64997673034668
"My daughter has no mobile phone, and I can only call her friends.",S001357_P0008_T00,"(192, 192)","[880, 975]",86.08968734741211,46.13734769821167
"Go home to eat more vegetables, eat less meat, and don't get fat.",S001369_P0000_T00,"(193, 193)","[1038, 554]",74.22035026550293,41.71547079086304
"Go home to eat more vegetables, eat less meat, and don't get fat.",S001369_P0004_T00,"(194, 194)","[723, 329]",74.22035026550293,39.66541385650635
"Take the exam tomorrow, bring a pen, do not bring your mobile phone.",S001372_P0000_T00,"(195, 195)","[953, 347]",78.49660301208496,40.005208015441895
"Take the exam tomorrow, bring a pen, do not bring your mobile phone.",S001372_P0008_T00,"(196, 196)","[879, 435]",78.49660301208496,38.70327568054199
"Where to eat at noon, or go to a restaurant at school?",S001377_P0000_T00,"(197, 197)","[272, 635]",85.2351016998291,41.37196493148804
"Where to eat at noon, or go to a restaurant at school?",S001377_P0008_T00,"(198, 198)","[713, 355]",85.2351016998291,28.416885375976562
Milk can drink with coffee.,S001401_P0008_T00,"(199, 199)","[398, 941]",78.66758155822754,31.035913944244385
"My boss is satisfied with me, and I am very happy.",S001403_P0004_T00,"(200, 200)","[234, 915]",82.45360946655273,41.34304904937744
"My boss is satisfied with me, and I am very happy.",S001403_P0008_T00,"(201, 201)","[352, 870]",82.45360946655273,27.22353196144104
"You can't drink at work hours, and the boss can't.",S001409_P0000_T00,"(202, 202)","[609, 1129]",85.3562126159668,37.58912134170532
"You can't drink at work hours, and the boss can't.",S001409_P0008_T00,"(203, 203)","[822, 649]",85.3562126159668,46.856472969055176
"Tomorrow is the Spring Festival, wearing new clothes.",S001414_P0008_T00,"(204, 204)","[690, 74]",90.8715591430664,40.222883224487305
"I don't want to buy this dress, I don't want to buy it.",S001415_P0000_T00,"(205, 205)","[484, 997]",68.6168041229248,57.19780445098877
"I don't want to buy this dress, I don't want to buy it.",S001415_P0004_T00,"(206, 206)","[855, 148]",68.6168041229248,44.83953094482422
I am very happy after the exam is after the exam.,S001417_P0004_T00,"(207, 207)","[303, 1000]",71.10630702972412,42.77023124694824
I am very happy after the exam is after the exam.,S001417_P0008_T00,"(208, 208)","[888, 325]",71.10630702972412,43.03251361846924
"You are my client, I should invite you to dinner.",S001423_P0000_T00,"(209, 209)","[393, 117]",78.23678398132324,47.762701988220215
"You are my client, I should invite you to dinner.",S001423_P0004_T00,"(210, 210)","[1141, 227]",78.23678398132324,40.07270622253418
Dancing is a sport that is good for your health.,S001425_P0000_T00,"(211, 211)","[192, 298]",79.18708610534668,40.16339588165283
Dancing is a sport that is good for your health.,S001425_P0008_T00,"(212, 212)","[806, 620]",79.18708610534668,43.03358173370361
The boss sent an email to let me book a flight back to the company.,S001430_P0008_T00,"(213, 213)","[820, 580]",77.44601821899414,37.209516525268555
"My son was on a business trip, and you had something to call him.",S001432_P0004_T00,"(214, 214)","[681, 566]",73.34309387207031,40.861292362213135
"There are dogs at the intersection, I am a little scared.",S001447_P0004_T00,"(215, 215)","[1135, 305]",62.009843826293945,46.72058868408203
"There are dogs at the intersection, I am a little scared.",S001447_P0008_T00,"(216, 216)","[713, 502]",62.009843826293945,38.81345176696777
I eat a lot of fruits in the afternoon and don't want to eat dinner.,S001456_P0000_T00,"(217, 217)","[556, 192]",83.88327503204346,30.1886248588562
"I didn't see the boss's email, when did he send it?",S001489_P0004_T00,"(218, 218)","[350, 212]",82.81672191619873,32.605939865112305
"I didn't see the boss's email, when did he send it?",S001489_P0008_T00,"(219, 219)","[520, 96]",82.81672191619873,45.98496770858765
It was my daughter wearing a blue skirt.,S001507_P0004_T00,"(220, 220)","[57, 541]",62.67172145843506,33.59789848327637
It was my daughter wearing a blue skirt.,S001507_P0008_T00,"(221, 221)","[1061, 913]",62.67172145843506,39.830801486968994
Today is a cloudy day and it may rain.,S001509_P0004_T00,"(222, 222)","[196, 1019]",80.08649921417236,21.727551698684692
Don't watch TV at home and go out to play football.,S001515_P0004_T00,"(223, 223)","[460, 689]",86.32307052612305,46.12408638000488
Don't watch TV at home and go out to play football.,S001515_P0008_T00,"(224, 224)","[690, 839]",86.32307052612305,31.794906616210938
"There is a dress on the chair, who is it?",S001517_P0000_T00,"(225, 225)","[554, 55]",77.0511360168457,40.7010383605957
"There is a dress on the chair, who is it?",S001517_P0004_T00,"(226, 226)","[240, 234]",77.0511360168457,52.46286964416504
"Hefei has a low temperature, and you must go to school in a bicycle.",S001568_P0004_T00,"(227, 227)","[776, 51]",68.11373519897461,47.01443386077881
"Hefei has a low temperature, and you must go to school in a bicycle.",S001568_P0008_T00,"(228, 228)","[745, 695]",68.11373519897461,31.787209510803223
My husband is in the United States and he likes Chinese food.,S001574_P0004_T00,"(229, 229)","[994, 5]",82.70326805114746,41.710540771484375
